大至急,4624,だいしきゅう,as soon as possible
保険金,4639,ほけんきん,insurance payout
応援団,4689,おうえんだん,cheering party
身代金,4703,みのしろきん,ransom
動物園,4711,どうぶつえん,zoo
日本中,4713,にほんじゅう,throughout Japan; throughout Japan
大好物,4736,だいこうぶつ,(one's) favourite food
操縦士,4749,そうじゅうし,pilot
駐車場,4751,ちゅうしゃじょう,parking lot
選択肢,4759,せんたくし,choices
富士山,4764,ふじさん,Mount Fuji
責任者,4776,せきにんしゃ,person in charge (including a supervisory role for other staff)
人気者,4875,にんきもの,popular person
管理人,4898,かんりにん,manager
積極的,4906,せっきょくてき,positive
転校生,4915,てんこうせい,transfer student
運動会,4916,うんどうかい,athletic meet
名古屋,4940,なごや,Nagoya (city)
無沙汰,4943,ぶさた,not writing or contacting for a while
異次元,4967,いじげん,different dimension
共犯者,4980,きょうはんしゃ,accomplice
無関係,4986,むかんけい,unrelated
面倒見,4990,めんどうみ,taking care of someone
無意識,4998,むいしき,unconsciousness; the unconscious
喫茶店,5002,きっさてん,coffee shop
一時的,5006,いちじてき,temporary
捜査官,5024,そうさかん,police investigator
学園長,5051,がくえんちょう,headmaster
洗濯物,5086,せんたくもの,laundry
違和感,5087,いわかん,uncomfortable feeling
連絡先,5114,れんらくさき,contact address
破壊力,5125,はかいりょく,destructive power
魔術師,5157,まじゅつし,magician
出版社,5174,しゅっぱんしゃ,publisher
絶好調,5177,ぜっこうちょう,in perfect form
目的地,5217,もくてきち,place of destination
保育園,5228,ほいくえん,nursery school
警部補,5290,けいぶほ,assistant inspector
不自由,5292,ふじゆう,discomfort
発見者,5307,はっけんしゃ,discoverer
自動車,5309,じどうしゃ,automobile
契約書,5313,けいやくしょ,(written) contract
救世主,5334,きゅうせいしゅ,saviour
邪魔者,5338,じゃまもの,obstacle
訓練生,5350,くんれんせい,trainee
三日月,5353,みかづき,new moon
最終回,5397,さいしゅうかい,last time
取引先,5404,とりひきさき,customer
有名人,5420,ゆうめいじん,celebrity
親衛隊,5424,しんえいたい,bodyguards
水族館,5428,すいぞくかん,aquarium; aquarium
世界的,5489,せかいてき,global
冒険者,5501,ぼうけんしゃ,adventurer
不動産,5510,ふどうさん,real estate
理不尽,5516,りふじん,unreasonable
警察庁,5518,けいさつちょう,National Police Agency
未確認,5534,みかくにん,unconfirmed
大学生,5557,だいがくせい,university student
大将軍,5573,たいしょうぐん,commander-in-chief; one of the eight gods of the koyomi; commander-in-chief; one of the eight gods of the koyomi
家政婦,5575,かせいふ,housekeeper
招待状,5576,しょうたいじょう,written invitation
盗聴器,5593,とうちょうき,listening device
裁判長,5613,さいばんちょう,presiding judge
作業員,5616,さぎょういん,laborer
不祥事,5674,ふしょうじ,scandal
金曜日,5678,きんようび,Friday
絶望的,5710,ぜつぼうてき,desperate
支配者,5741,しはいしゃ,governor
早乙女,5742,さおとめ,young female rice planter
経営者,5778,けいえいしゃ,manager
漫画家,5812,まんがか,cartoonist
支配人,5832,しはいにん,manager
編集者,5864,へんしゅうしゃ,editor (in publishing
初心者,5867,しょしんしゃ,beginner
集中力,5884,しゅうちゅうりょく,(powers of) concentration
公務員,5889,こうむいん,government worker
警告音,5907,けいこくおん,warning sound
保健室,5912,ほけんしつ,school infirmary
診療所,5935,しんりょうしょ,clinic
上出来,5958,じょうでき,good performance
不愉快,5970,ふゆかい,discomfort
先生方,5973,せんせいがた,doctors
基本的,5975,きほんてき,fundamental
奉行所,5976,ぶぎょうしょ,magistrate's office
教科書,6023,きょうかしょ,textbook
上層部,6048,じょうそうぶ,top brass
研修医,6076,けんしゅうい,medical intern
遺伝子,6087,いでんし,gene; genetic
最優先,6155,さいゆうせん,maximum preference
一番星,6192,いちばんぼし,the first star to appear in the evening
不安定,6212,ふあんてい,instability
私自身,6237,わたしじしん,myself; myself
部外者,6247,ぶがいしゃ,outsider
結果的,6274,けっかてき,concerning the result (as opposed to the means used to achieve this result or the original goal)
新幹線,6292,しんかんせん,Shinkansen
製作所,6324,せいさくしょ,works
錬金術,6325,れんきんじゅつ,alchemy; way of making money
映画館,6367,えいがかん,movie theatre
編集部,6371,へんしゅうぶ,editorial department
副社長,6373,ふくしゃちょう,executive vice-president
週刊誌,6387,しゅうかんし,weekly publication
最大限,6394,さいだいげん,maximum; to the maximum degree
誰一人,6405,だれひとり,no one
遺留品,6409,いりゅうひん,lost articles
科捜研,6424,かそうけん,forensic researcher
地球上,6434,ちきゅうじょう,on the earth
後継者,6439,こうけいしゃ,successor
睡眠薬,6443,すいみんやく,sleeping pill
魅力的,6447,みりょくてき,charming
異世界,6453,いせかい,parallel universe (e.g. in SF)
予想外,6460,よそうがい,unexpected
暴力団,6467,ぼうりょくだん,gangster organization (organisation)
飛行船,6503,ひこうせん,airship
探偵団,6514,たんていだん,detective team; study group
裁判所,6524,さいばんしょ,court
副会長,6528,ふくかいちょう,vice president (of a club or organization
腕時計,6536,うでどけい,wristwatch
学園祭,6546,がくえんさい,school festival
緊張感,6553,きんちょうかん,feeling of tension
歌舞伎,6565,かぶき,kabuki
発表会,6586,はっぴょうかい,recital (i.e. of music
担当者,6613,たんとうしゃ,person in charge (of an area of work
専門家,6639,せんもんか,specialist
戦闘力,6653,せんとうりょく,fighting strength
芸能人,6656,げいのうじん,performer
審査員,6661,しんさいん,examiner
工場長,6662,こうじょうちょう,factory manager
居酒屋,6681,いざかや,izakaya
正社員,6712,せいしゃいん,regular employee
連合軍,6734,れんごうぐん,(WWII) the Allies
一日中,6738,いちにちじゅう,all day long
二十歳,6739,はたとせ,twenty years
参加者,6742,さんかしゃ,participant
体育館,6766,たいいくかん,gymnasium
第一歩,6775,だいいっぽ,first step
大歓迎,6800,だいかんげい,warm welcome
現行犯,6839,げんこうはん,flagrante delicto
女学校,6844,じょがっこう,girl's school
営業部,6863,えいぎょうぶ,sales department
委員会,6866,いいんかい,committee
授業中,6870,じゅぎょうちゅう,while in class
研究員,6874,けんきゅういん,researcher
味噌汁,6882,みそしる,miso soup
指揮官,6884,しきかん,commander
領収書,6907,りょうしゅうしょ,(formal) receipt
一文字,6908,ひともじ,one (written) character; Welsh onion (Allium fistulosum)
大規模,6934,だいきぼ,large-scale
共通点,6960,きょうつうてん,common feature
総攻撃,6970,そうこうげき,all-out attack
詐欺師,6971,さぎし,swindler
新選組,6981,しんせんぐみ,Shinsengumi
不審者,6991,ふしんしゃ,suspicious person
臆病者,7021,おくびょうもの,coward
戦闘機,7070,せんとうき,fighter (aircraft)
卒業式,7085,そつぎょうしき,graduation ceremony
代理人,7099,だいりにん,proxy
全宇宙,7100,ぜんうちゅう,whole universe
