意味不明,10566,いみふめい,of uncertain meaning
授業参観,10612,じゅぎょうさんかん,parents' day (day when parents observe their children in school)
同一人物,10636,どういつじんぶつ,the very same person
殺害事件,10701,さつがいじけん,murder case
人工知能,10761,じんこうちのう,artificial intelligence
宇宙開発,10815,うちゅうかいはつ,space development
株式会社,10868,かぶしきがいしゃ,public company
治安維持,10873,ちあんいじ,maintenance of public order
警備会社,10975,けいびがいしゃ,security firm
浮気相手,11123,うわきあいて,adulterous partner (in a relationship)
自己満足,11130,じこまんぞく,self-satisfaction
強盗事件,11244,ごうとうじけん,robbery
賞味期限,11312,しょうみきげん,"best before" date (food)
京都府警,11324,きょうとふけい,Kyoto Prefectural Police
特殊部隊,11339,とくしゅぶたい,special forces
七不思議,11356,ななふしぎ,seven wonders (of a particular area)
心筋梗塞,11381,しんきんこうそく,heart attack
自由研究,11402,じゆうけんきゅう,research project (e.g. at school)
爆破事件,11446,ばくはじけん,bombing incident
世界各地,11470,せかいかくち,every part of the world
受験勉強,11481,じゅけんべんきょう,studying for a test (esp. school or university entrance examinations)
言語道断,11558,ごんごどうだん,outrageous
警察学校,11671,けいさつがっこう,police academy
作戦会議,11683,さくせんかいぎ,strategy meeting
家宅捜索,11693,かたくそうさく,premises search
就職活動,11695,しゅうしょくかつどう,job hunting
自作自演,11720,じさくじえん,performing a part in one's own play
現場検証,11761,げんばけんしょう,on-the-site inspection
優柔不断,11794,ゆうじゅうふだん,indecisiveness
遠隔操作,11880,えんかくそうさ,remote control
誕生日会,11931,たんじょうびかい,birthday party
結婚生活,11979,けっこんせいかつ,wedded life
人工心肺,12049,じんこうしんぱい,heart-lung machine
至近距離,12094,しきんきょり,point-blank range
宇宙空間,12166,うちゅうくうかん,outer space
弱肉強食,12226,じゃくにくきょうしょく,survival of the fittest
損害賠償,12230,そんがいばいしょう,restitution
交友関係,12256,こうゆうかんけい,one's relationships
人工衛星,12257,じんこうえいせい,man-made satellite
記念写真,12306,きねんしゃしん,commemorative photograph
身体能力,12309,しんたいのうりょく,physical ability
証拠隠滅,12452,しょうこいんめつ,destruction of evidence
放送開始,12484,ほうそうかいし,start of broadcast
不倫相手,12511,ふりんあいて,person with whom one is having an illicit love affair
不法侵入,12512,ふほうしんにゅう,trespassing
御庭番衆,12538,おにわばんしゅう,Oniwaban
日本料理,12545,にほんりょうり,Japanese cooking
傷害事件,12577,しょうがいじけん,incident resulting in injury
新入社員,12590,しんにゅうしゃいん,new employee
史上最高,12636,しじょうさいこう,record high
馬鹿野郎,12748,ばかやろう,idiot
英雄伝説,12792,えいゆうでんせつ,heroic legendary tale; Legend of Heroes (video game series)
起爆装置,12796,きばくそうち,detonator
状況証拠,12893,じょうきょうしょうこ,circumstantial evidence
任意同行,12925,にんいどうこう,going along voluntarily to be questioned by law officers
自由自在,12959,じゆうじざい,free
非常階段,12970,ひじょうかいだん,emergency staircase
医師免許,12987,いしめんきょ,physician's license (licence)
三角関係,13045,さんかくかんけい,love triangle
警察沙汰,13081,けいさつざた,a matter for the police
懐中電灯,13115,かいちゅうでんとう,electric torch
執行猶予,13172,しっこうゆうよ,stay of execution
心霊写真,13179,しんれいしゃしん,spirit photography
海外旅行,13199,かいがいりょこう,vacation abroad
総司令官,13210,そうしれいかん,commander-in-chief
御屋形様,13255,おやかたさま,lord
