取締役社長,30644,とりしまりやくしゃちょう,managing director
火事場泥棒,30863,かじばどろぼう,looter
統合失調症,30951,とうごうしっちょうしょう,schizophrenia
入国管理局,31170,にゅうこくかんりきょく,Immigration Bureau
写真週刊誌,31177,しゃしんしゅうかんし,weekly pictorial magazine
国土交通省,31226,こくどこうつうしょう,Ministry of Land
少年刑務所,31273,しょうねんけいむしょ,juvenile prison
放射能汚染,31343,ほうしゃのうおせん,radioactive contamination
仮面舞踏会,31701,かめんぶとうかい,masquerade ball
精神安定剤,32060,せいしんあんていざい,tranquilizer
不完全燃焼,32268,ふかんぜんねんしょう,incomplete combustion
人形浄瑠璃,32280,にんぎょうじょうるり,Japanese puppet theatre in which recited narrative and dialog is accompanied by a shamisen (forerunner of bunraku)
無条件降伏,32575,むじょうけんこうふく,unconditional surrender
臨床心理士,32669,りんしょうしんりし,clinical psychologist
非常勤講師,32783,ひじょうきんこうし,part-time lecturer
弁護士費用,33067,べんごしひよう,legal fee
火災報知器,33223,かさいほうちき,fire alarm
犯行声明文,33238,はんこうせいめいぶん,letter of responsibility (for a crime)
硬膜外血腫,33277,こうまくがいけっしゅ,epidural hematoma
連続殺人鬼,33408,れんぞくさつじんき,serial killer
電子計算機,33445,でんしけいさんき,computer
不法侵入者,33535,ふほうしんにゅうしゃ,trespasser
使途不明金,33582,しとふめいきん,unaccounted-for expenditures
悪徳弁護士,33793,あくとくべんごし,shyster
真珠湾攻撃,33983,しんじゅわんこうげき,Attack on Pearl Harbor (Dec. 7
計画的犯行,34093,けいかくてきはんこう,premeditated crime
閉所恐怖症,34149,へいしょきょうふしょう,claustrophobia; claustrophobia
高級住宅街,34180,こうきゅうじゅうたくがい,high-end residential area
中華料理店,34268,ちゅうかりょうりてん,Chinese restaurant
井戸端会議,34284,いどばたかいぎ,content-free chat
少子高齢化,34451,しょうしこうれいか,decreasing birthrate and aging population
現在進行形,34675,げんざいしんこうけい,present continuous tense
重要文化財,34883,じゅうようぶんかざい,important cultural property
内視鏡検査,35084,ないしきょうけんさ,endoscopy
更年期障害,35322,こうねんきしょうがい,menopausal disorders
相対性理論,35455,そうたいせいりろん,theory of relativity
空気清浄機,35485,くうきせいじょうき,air cleaner
終末期医療,35503,しゅうまつきいりょう,terminal care
褐色細胞腫,35588,かっしょくさいぼうしゅ,pheochromocytoma
観光案内所,35601,かんこうあんないじょ,tourist information center
遺伝子操作,35663,いでんしそうさ,gene manipulation
高性能爆弾,35731,こうせいのうばくだん,high-explosive bomb
